filename,total_words,unique_words
../data/100_english_novels/corpus/Morris_Water_1897.txt,147737,12079
../data/100_english_novels/corpus/Galsworthy_Saints_1919.txt,95156,14582
../data/100_english_novels/corpus/Gissing_Unclassed_1884.txt,124877,15769
../data/100_english_novels/corpus/Anon_Clara_1864.txt,197620,24797
../data/100_english_novels/corpus/Hardy_Jude_1895.txt,147273,19237
../data/100_english_novels/corpus/Dickens_Expectations_1861.txt,186804,20536
../data/100_english_novels/corpus/Chesterton_Thursday_1908.txt,58299,10385
../data/100_english_novels/corpus/Burnett_Lord_1886.txt,58698,8131
../data/100_english_novels/corpus/Braddon_Phantom_1883.txt,180676,22474
../data/100_english_novels/corpus/Gaskell_Ruth_1855.txt,161797,18148
../data/100_english_novels/corpus/Kipling_Captains_1896.txt,53467,11709
